# ========
# captured on: Mon Nov 10 22:29:07 2014
# hostname : euler16
# os release : 2.6.32-358.6.2.el6.x86_64
# perf version : 2.6.32-358.23.2.el6.x86_64.debug
# arch : x86_64
# nrcpus online : 64
# nrcpus avail : 64
# cpudesc : AMD Opteron(TM) Processor 6274 
# cpuid : AuthenticAMD,21,1,2
# total memory : 132151156 kB
# cmdline : /usr/bin/perf record -a -e page-faults -o rs_32.faults -- ./dress 
# event : name = page-faults, type = 1, config = 0x2, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, excl_host = 0, excl_guest = 1, precise_ip = 0, id = { 16193, 16194, 16195, 16196, 16197, 16198, 16199, 16200, 16201, 16202, 16203, 16204, 16205, 16206, 16207, 16208, 16209, 16210, 16211, 16212, 16213, 16214, 16215, 16216, 16217, 16218, 16219, 16220, 16221, 16222, 16223, 16224, 16225, 16226, 16227, 16228, 16229, 16230, 16231, 16232, 16233, 16234, 16235, 16236, 16237, 16238, 16239, 16240, 16241, 16242, 16243, 16244, 16245, 16246, 16247, 16248, 16249, 16250, 16251, 16252, 16253, 16254, 16255, 16256 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 13K of event 'page-faults'
# Event count (approx.): 200987
#
# Overhead,Command,Shared Object,Symbol
0.00,     dress,libm-2.12.so               ,[.] __fminf                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
0.00,     dress,libgomp.so.1.0.0           ,[.] GOMP_loop_guided_start                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.00,     dress,ld-2.12.so                 ,[.] strchr                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.00,     dress,libgomp.so.1.0.0           ,[.] GOMP_loop_guided_next                                                                                                                                                                                                                                                                                                                                                                                                                                                          
0.00,     dress,libChronoEngine_Parallel.so,[.] mult(real4 const&, real4 const&)                                                                                                                                                                                                                                                                                                                                                                                                                                               
0.00,     dress,libChronoEngine.so         ,[.] chrono::ChBody::ComputeGyro()                                                                                                                                                                                                                                                                                                                                                                                                                                                  
0.00,     dress,ld-2.12.so                 ,[.] _start                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.00,     dress,libc-2.12.so               ,[.] _L_lock_5189                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
0.00,     dress,libc-2.12.so               ,[.] __strchr_sse2                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
0.00,     dress,libChronoEngine_Parallel.so,[.] real4::operator float __vector() const                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.00,     dress,libChronoEngine_Parallel.so,[.] chrono::collision::MPRContact(chrono::collision::ConvexShape const&, chrono::collision::ConvexShape const&, real3&, real3&, float&)                                                                                                                                                                                                                                                                                                                                            


#
# (For a higher level overview, try: perf report --sort comm,dso)
#
